Song Group,Video ID,Video Name
Alma Mater,wyl6FOP757c,2012 Vermilion Sailor Alumni Band - Alma Mater
Alma Mater,Vd1bhJ3jsgk,2013 Vermilion Sailor Alumni Band - Alma Mater
Alma Mater,wDEpfBnWgos,2014 Vermilion Sailor Alumni Band - Alma Mater
Alma Mater,m4if7mSFhpg,2016 Vermilion Sailor Alumni Band - Alma Mater
Alma Mater,RDUQ5sUxS2U,2018 Vermilion Sailor Alumni Band - Alma Mater
Alma Mater,9PGIpf3wKI0,2018-2019 Vermilion Sailor Marching  Band  -  Alma Mater Endzone
Alma Mater,DHaKvXLQsD0,2023 Vermilion Sailor Alumni Band  - Alma Mater
Alexander's Rag Time Band,5dztjqc2uBs,1986 Vermilion Sailor Alumni Band   - Alexander's Ragtime Band
Alive and Amplified,LonWFfoeZPY,2011-2012 Vermilion Sailor Marching Band - Alive And Amplified
All At Once,Zal4gbvuiXQ,1994-1995 Vermilion Sailor Marching Band All At Once
All I Need is a Miracle,nNNJH27Zvcw,1986-1987 Vermilion Sailor Marching Band - All I Need Is A Miracle - Play Off Game   Willoughby
All I Need is a Miracle,eQifWssaDYA,1986-1987 Vermilion Sailor Marching Band - All I Need Is A Miracle - Senior Show
All I Need is a Miracle,2Ezm9rNcUnQ,1986-1987 Vermilion Sailor Marching Band - All I Need Is A Miracle - Elyria Band Festival
All I Need is a Miracle,KvX_eSacZLA,1986-1987 Vermilion Sailor Marching Band - All I Need is a Miracle - VHS Marching Band Festival
America The Beautiful,bnT8uXT8-6Q,2000-2001 Vermilion Sailor Marching Band - America The Beautiful
America The Beautiful,kiEdlAmnWqs,2002-2003 Vermilion Sailor Marching Band - America The Beautiful - Sailor Marching Band Festival
America The Beautiful,KuAa8-Gkrfg,2002-2003 Vermilion Sailor Marching Band - America The Beautiful - Anthony Wayne Showcase of Bands
American Woman,xs5N6DKjC_4,1999-2000 Vermilion Sailor Marching Band - At Fox8 - American Woman Partial
American Woman,1izsyagn1Lg,1999-2000 Vermilion Sailor Marching Band - American Woman Partial
Anyway You Want It,n46bxdBh8yM,2012 Vermilion Sailor Alumni Band - Anyway You Want It
Are You Ready For This,6pLe4hAxCcI,2002-2003 Vermilion Sailor Marching Band - Are You Ready For This
Are You Ready For This,_MtlnIyaOQI,2002-2003 Vermilion Sailor Marching Band - Are You Ready For This Portion - Endzone
Armada,8Tns7U9sUiI,1991-1992 Vermilion Sailor Marching Band - Armada
Armada,4WUhiUGajzA,1993-1994 Vermilion Sailor Marching Band - Armada - Dover Festival
Armada,0Vw43-rSXxY,1993-1994 Vermilion Sailor Marching Band - Armada - V Firelands
Artistry and Rhythm,8Nkzh81BadE,1991 Vermilion Sailor Alumni Band - Artistry and Rhythm
Artistry and Rhythm,-gKQZKQRDKA,1994 Vermilion Sailor Alumni Band - Artistry and Rhythm
At The Hop,yRPEjF951VA,1991-1992 Vermilion Sailor Marching Band - At The Hop - Eighth Grade Night
At The Hop,8JuakuyPaLo,1999-2000 Vermilion Sailor Marching Band - At The Hop
At The Hop,82Gm548jCWI,1999-2000 Vermilion Sailor Marching Band - At The Hop With Eighth Graders
Avalon,NLHhoprgbKo,1993-1994 Vermilion Sailor Marching Band - Avalon - V Southview
Bad Medicine,Jkj6PQ986dw,2016 Vermilion Sailor Alumni Band - Bad Medicine
Bad Medicine,m4aNhhwt9sc,2018 Vermilion Sailor Alumni Band  - Bad Medicine Practice
Bad Medicine,3XDgcSv-64M,2018 Vermilion Sailor Alumni Band  - Bad Medicine
Bad Medicine,xrl-bjxVqBA,2019 Vermilion Sailor Alumni Band - Bad Medicine
Back To The Future,XKJtuv94k2s,1992-1993 Vermilion Sailor Marching Band - Back To The Future - Full Show 2
Back To The Future,ViCdMEs_WKA,1992-1993 Vermilion Sailor Marching Band - Back To The Future - Senior Show
Back in the USSR,iN_c49CWuzQ,1997-1998 Vermilion Sailor Marching Band - Back in The USSR - The End - Full Show 2
Back in the USSR,HFHLFK4Hi3c,1997-1998 Vermilion Sailor Marching Band - Back In The USSR / The End
Back in the USSR,m64s7Y7MAEU,1997-1998 Vermilion Sailor Marching Band - Back in the USSR - The End
Barbara Ann,XDpZvNLxSUM,1985-1986 Vermilion Sailor Marching Band - Barbara Ann - Vermilion Sailor Marching Band Festival
Barbara Ann,8zHcD3GGwEE,1985-1986 Vermilion Sailor Marching Band - Barbara Ann  - Amherst High School Showcase of Bands
Barbara Ann,S-87l7TF8YY,1985-1986 Vermilion Sailor Marching Band - Barbara Ann
Barbara Ann,9XBZTHoa2HA,1987-1988 Vermilion Sailor Marching Band - Barbara Ann - Senior Show   Vermilion
Barbara Ann,vbRGSpzebUo,1995-1996 Vermilion Sailor Marching Band - Barbara Ann - Vermilion Sailor Band Festival - 9-30-1995
Barbara Ann,1tEJzpaIsJ4,2002 Vermilion Sailor Alumni Band - Second Source - Barbara Ann
Barbara Ann,dQg6oFaPHJ0,2002 Vermilion Sailor Alumni Band - Barbara Ann
Bare Necessities,_7P_kNniq7Q,2017-2018 Vermilion Sailor Marching Band - Bare Necessities - 10-6-17 - V Port Clinton
Basin Street Blues,XCVYAZ3b1bI,1986 Vermilion Sailor Alumni Band - Basin Street Blues
Basin Street Blues,W8mzCiIe020,1996 Vermilion Sailor Alumni Band - Basin Street Blues - Vermilion Band Festival
Basin Street Blues,XqABw0-Bolw,2007 Vermilion Sailor Alumni Band - Basin Street Blues
Basin Street Blues,KfIGwnk3r6Q,2010 Vermilion Sailor Alumni Band -  Basin Street Blues  - Tribute to 'WIlly B'
Beat It,mEvhJLLuksc,2023-2024 Vermilion Sailor Marching Band  - Beat It  - 9-8-2023
Beat It,LKTSzf0gfaI,2023-2024 Vermilion Sailor Marching Band  - Beat It  -  9-9-202
Beat It,xvmg9RSzbrc,2023-2024 Vermilion Sailor Marching Band  - Beat It  -  9-15-2023
Beat It,y0Gd1XMX03s,2023-2024 Vermilion Sailor Marching Band  - Beat It  - Video 2  - 9-8-2023
Beatles Mash Up,YaOx8lFJbfc,2015-2016 Vermilion Sailor Marching Band - Beatles Mashup - v Willard
Beatles Mash Up,czMf5AuxmOM,2016-2017 Vermilion Sailor Marching Band - Beatles Mashup - Firelands Parade of Bands
Bend Me Shake Me,ptUUygyB4mM,2003-2004 Vermilion Sailor Marching Band - Second Source  - Show 3 - Bend Me Shake Me
Bend Me Shake Me,50WnemsSIy8,2003-2004 Vermilion Sailor Marching Band - Second Source  - Show 2 - Bend Me Shake Me
Bend Me Shake Me,jXS4oGoqA3w,2003-2004 Vermilion Sailor Marching Band - Bend Me Shake Me - Full Show
Bend Me Shake Me,Yz4h2LDubZQ,2003-2004 Vermilion Sailor Marching Band - Bend Me Shake Me
Bend Me Shake Me,9O7qMGQEZ5c,2012 Vermilion Sailor Alumni Band - Bend Me Shake Me
Big Band Beats,i1b4LDcC1ls,1993-1994 Vermilion Sailor Marching Band - Big Band Beats - V Lorain
Big Band Beats,EiRQDDEqO9w,1993-1994 Vermilion Sailor Marching Band - Big Band Beats - V Admiral King
Big Band Beats,xhCq-8D6Hw8,1994-1995 Vermilion Sailor Marching Band - Big Band Beats
Big Band Beats,EyBUo2Fd1Cc,1994-1995 Vermilion Sailor Marching Band - Big Band Beats - Anthony Wayne
Bite The Hand That Feeds,_Wd4gDIQqwQ,2016-2017 Vermilion Sailor Marching Band - Bite The Hand That Feeds - Elyria Parade of Bands
Bite The Hand That Feeds,4l7FHBEpcLU,2016-2017 Vermilion Sailor Marching Band - Bite The Hand That Feeds - Halftime v Fairview
Bite The Hand That Feeds,jyq1sKbho-U,2016-2017 Vermilion Sailor Marching Band - Bite The Hand That Feeds - Halftime v Perkins
Bite The Hand That Feeds,WxfCPZ7IhZI,2016-2017 Vermilion Sailor Marching Band - Bite The Hand That Feeds - Vermilion Band Festival
Blame It On The Boogie,Vj8Ildjifxg,2015-2016 Vermilion Sailor Marching Band - Blame It On The Boogie - v Firelands
Blinding Lights,N8RQN5f27Os,2023-2024 Vermilion Sailor Marching Band  - Blinding Lights  -Sailor Marching Band Festival
Blinding Lights,RoLWOJe2jXg,2023-2024 Vermilion Sailor Marching Band  - Blinding Lights - 9-8-2023
Blinding Lights,9EbIZAgWqZM,2023-2024 Vermilion Sailor Marching Band  - Blinding Lights - 9-15-2023
Blinding Lights,atlG_cALKAM,2023-2024 Vermilion Sailor Marching Band  - Blinding Lights - Video 2   9-8-2023
Bohemian Rhapsody,TU5JQ1UUCiI,2013-2014 Vermilion Sailor Marching Band - Bohemian Rhapsody
Bohemian Rhapsody,BH26zUOFDHk,2013-2014  Vermilion Sailor Marching Band - Bohemian Rhapsody - Spencerville 10 25 2013
Bohemian Rhapsody,6qvz-9cgFUQ,2022-2023 Vermilion Sailor Marching Band - Bohemian Rhapsody - 10-21-2022
Boot Scootin Boogie,UyGhHeZ-Ok0,1993-1994 Vermilion Sailor Marching Band - Boot Scootin Boogie -  V Elyria
Boot Scootin Boogie,gXmj98qXWQk,1993-1994 Vermilion Sailor Marching Band - Boot Scootin Boogie - V Southview
Bully,sBwrNgI2ddw,2016-2017 Vermilion Sailor Marching Band - Bully - Halftime vs  Firelands
Bully,u_Q_OsCb_3c,2016-2017 Vermilion Sailor Marching Band - Bully - Elyria Parade of Bands
Bully,iUBXErNQP4Y,2016-2017 Vermilion Sailor Marching Band - Bully - Halftime Show V Port Clinton
Bully,l9IUZoe0sjE,2016-2017 Vermilion Sailor Marching Band - Bully - Vermilion Band Festival
By The Sea,rZLTTZ2Ekyw,1986 Vermilion Sailor Alumni Band Show - By The Sea
Cadence,Bz6cvT8AmyE,1995-1996 Vermilion Sailor Marching Band - Cadence - Band In Review
Cadence,H6_r6S3sStg,1996-1997 Vermilion High School Marching Band - Fan Fares - Cadence - Band Review Concert
Cadence,WckJ9PI9ihs,2018-2019 Vermilion Sailor Marching  Band  - Cadence Behind School
Cadence,RG9NQFzTpb4,2023-2024 Vermilion Sailor Marching Band  - Cadence - 9-8-2023
Cadence,Z266xpvTUDI,2023-2024 Vermilion Sailor Marching Band  - Cadence  - 8-25-2023
Cadence,bxtDLq_R_w8,2023-2024 Vermilion Sailor Marching Band  - Cadence  - 8-18-2023
Can You Feel The Love Tonight,wj4Y50Q1ffY,1995-1996 Vermilion Sailor Marching Band - Can You Feel The Love Tonight
Can You Feel The Love Tonight,Y1vbmyZaBj8,1995-1996 Vermilion Sailor Marching Band - Can You Feel The Love Tonight
Can't Turn You Loose,yK8JipCqcFo,2002-2003 Vermilion Sailor Marching Band - Can't Turn You Loose - W 8th Grade -Sailor Band Festival
California,jaYrH2zd7D4,1992 Vermilion Sailor Alumni Band - California
Can't Buy Me Love,nrc7Kp3VdTE,2003-2004 Vermilion Sailor Marching Band -- Show 5 - Can't Buy Me Love   Magicial Mystery Tour
Can't Buy Me Love,r7xeWY3qd8U,2004-2005 Vermilion Sailor Marching Band - Can't Buy Me Love-Magicial Mystery - Sailor Band Festival
Can't Buy Me Love,TzPXAQxzqqQ,2014 Vermilion Sailor Alumni Band - Can't Buy Me Love
Can't Wait To Be King,SeMCPJLyJq8,2013-2014 Vermilion Sailor Marching Band  -  I Just Can't Wait To Be King -  Band Review
Celebrate a Celebration,2EGfHhSVSnQ,1997-1998 Vermilion Sailor Marching Band - Celebrate a Celebration - Bay Festival
Celebrate a Celebration,cmtJsojCQHc,1997-1998 Vermilion Sailor Marching Band - Celebrate a Celebration - V Firelands
Celebrate a Celebration,vk6ZdlOuwwk,1997-1998 Vermilion Sailor Marching Band - Celebrate a Celebration - Stand and Play
Celebrate a Celebration,o_ZtTyueemQ,2003-2004 Vermilion Sailor Marching Band - Second Source  - Show 2 - Celebrate A Celebration
Celebrate a Celebration,zJPCbEzmnrc,2003-2004 Vermilion Sailor Marching Band - Celebrate The Celebration
Chameleon,Ln0YbwVlRdM,1998-1999 Vermilion Sailor Marching Band - Chameleon
Charge,YvawjvHeyWE,1992-1993 Vermilion Sailor Marching Band - Charge - In the Stands - V John Adams
Charleston,X3F8NF6mg6I,1996 Vermilion Sailor Alumni Band - Charleston - Vermilion Band Festival
Cherish,FC0UnJXjlSA,1986-1987 Vermilion Sailor Marching Band - Cherish - Elyria Band Festival
Cherish,z24k61PIYps,1986-1987 Vermilion Sailor Marching Band - Cherish - Vermilion Marching Band Festival
China Grove,_Ww4MiFVYE8,1990-1991 Vermilion Sailor Marching Band - China Grove
China Grove,TscCHdr1aFc,1990-1991 Vermilion Sailor Marching Band - China Grove - Second Festival Show
China Grove,q4SY0F1sPKg,1990-1991 Vermilion Sailor Marching Band - China Grove - Festival Show
China Grove,cty4J3tmRUI,1991-1992 Vermilion Sailor Marching Band - China Grove - In Stands - First Home Game
China Grove,_UC-816f2YY,1999-2000 Vermilion Sailor Marching Band  - Vermilion Band Festival - China Grove
China Grove,mBa-UvnRD3Y,1999-2000 Vermilion Sailor Marching Band  - Preseason - China Grove
China Grove,kZTwj_RILh8,1999-2000 Vermilion Sailor Marching Band - Band In Review Concert - China Grove
China Grove,yPF7JL2rjl0,2003 Vermilion Sailor Alumni Band -  Second Source - China Grove
China Grove,SsPcxLvD32o,2003 Vermilion Sailor Alumni Band -  Second Source - China Grove
China Grove,q9qR4QxzYiY,2005-2006 Vermilion Sailor Marching Band - Vermilion Sailor Band Festival - China Grove
China Grove,dJvZOpKskI8,2006-2007 Vermilion Sailor Marching Band - China Grove Portion - Senior Show
China Grove,Y67vVIh4FrA,2022 Vermilion Sailor Alumni Band - China Grove
Chorus Line,IAUUM3ppwgc,1989-1990 Vermilion Sailor Marching Band - Chorus Line - Vermilion Band Festival
Chorus Line,8n547YdayK8,1991-1992 Vermilion Sailor Marching Band - Chorus Line - Senior Night
The Circle of Life,_epJV2Ff7Tk,2018-2019 Vermilion Sailor Marching  Band  - Circle of Life - Second Copy
The Circle of Life,g1p4zvv9Xbc,2018-2019 Vermilion Sailor Marching  Band  - Circle of Life
The Circle of Life,zX0geG7PcJ0,2018-2019 Vermilion Sailor Marching  Band  - Full Festival Show - Circle of Life
The Circle of Life,3rCQ1VPV1ZU,2018-2019 Vermilion Sailor Marching  Band  - 8-31-18 - Circle of Life
The Contender,Rbp9WGJL7AI,2000-2001 Vermilion Sailor Marching Band - The Contender
The Contender,UqUmpxFlxmY,2000-2001 Vermilion Sailor Marching Band - The Contender - Vermilion Sailor Band Festival
The Contender,3vkSGH8T_rQ,2000-2001 Vermilion Sailor Marching Band - The Contender
Coke Is It,Bp1g82lQimo,1986-1987 Vermilion Sailor Marching Band - Coke Is It - Elyria Band Festival
Coke Is It,ZLi_zK5X5EY,1986-1987 Vermilion Sailor Marching Band - Coke Is It - Vermilion Marching Band Festival
Come Out and Play,29kXXDL8-CE,2008 Vermilion Sailor Alumni Band - Come Out And Play
Come Sail Away,8bxw-fxlj3A,1996-1997 Vermilion High School Marching Band - Come Sail Away - Rittman
Come Sail Away,AHBB07eiHcI,1996-1997 Vermilion High School Marching Band - Come Sail Away - Vermilion Marching Band Festival
Come Sail Away,2yZl3zCd9KE,2003-2004 Vermilion Sailor Marching Band - Second Source  - Show 1 - Come Sail Away
Come Sail Away,wbfduyj9HLA,2003-2004 Vermilion Sailor Marching Band - Come Sail Away
Conga,rYLSbPICoZY,1986-1987 Vermilion Sailor Marching Band - Conga - Play Off Game - Willoughby
Conga,zzA15h0IxF0,1986-1987 Vermilion Sailor Marching Band - Conga - Elyria Band Festival
Conga,mWCwYujS_RQ,1986-1987 Vermilion Sailor Marching Band - Conga - Vermilion High School Stadium
Conga,WKKYovNyE_U,1986-1987 Vermilion Sailor Marching Band - Conga - Vermilion Marching Band Festival
Conga,2-b2IokUmXo,1991-1992 Vermilion Sailor Marching Band - Conga - Vermilion Sailor Band Festival
Conga,2uThMT-8cgQ,1991-1992 Vermilion Sailor Marching Band - Conga - Judge Commentary - Lakeview
Conga,DTzSul3OHHo,1991-1992 Vermilion Sailor Marching Band - Conga - First Home Game
Cotton Eye Joe,R0Su9CI6VB4,2022-2023 Vermilion Sailor Marching Band - Cotton Eye Joe - 9-23-2022
Crazy In Love,M84KCqsth0w,2023-2024 Vermilion Sailor Marching Band  - Crazy in Love - 8-25-2023
Crazy In Love,E1d8UJ6QFYs,2023-2024 Vermilion Sailor Marching Band  - Crazy In Love - 8-18-2023
Crazy Train,sUwFLLMviXI,2003-2004 Vermilion Sailor Marching Band - Second Source  - Senior Show - Crazy Train
Crazy Train,x5RLbXU8uPc,2003-2004 Vermilion Sailor Marching Band - Second Source  -  Senior Show - Crazy Train
Crazy Train,OX6pzGSKddc,2003-2004 Vermilion Sailor Marching Band  - Crazy Train - Senior Show
Creep,qbINtn0qhdc,2013-2014  Vermilion Sailor Marching Band - Creep
Creep,L9KT4pgp8Mo,2013-2014  Vermilion Sailor Marching Band - Creep - Vermilion Sailor Marching Band Festival
Creep,Xmn3Y8GtBzE,2013-2014  Vermilion Sailor Marching Band - Creep - Band Review Concert
Crocodile Rock,yxN5DrlbP_Q,1991-1992 Vermilion Sailor Marching Band - Crocodile Rock
Dancing On The Ceiling,M8lueqQCdP4,1989-1990 Vermilion Sailor Marching Band - Dancing On The Ceiling - Vermilion Band Festival
Dancing Queen,gYEYot5fGVA,2018-2019 Vermilion Sailor Marching  Band  - Dancing Queen
Dancing Queen,Gi-mS1txbhA,2018-2019 Vermilion Sailor Marching  Band  - 9-7-2018 - Dancing Queen
Daytripper,37IwPfoMZQQ,1987-1988 Vermilion Sailor Marching Band - Day Tripper - Williamsburg
Daytripper,IP6ymhTS42I,1993-1994 Vermilion Sailor Marching Band - Day Tripper -  Sailor Marching Band Festival
Daytripper,-5K4D9cnFYM,1993-1994 Vermilion Sailor Marching Band - Day Tripper - Dover Festival
Daytripper,ZQGFyKTjLR4,1993-1994 Vermilion Sailor Marching Band - Day Tripper - V John Adams
Dazz,IM3enHsaijk,2006-2007 Vermilion Sailor Marching Band - Vermilion Marching Band Festival - Dazz
Disco Inferno,Pj0GZ2DxaYw,2014-2015 Vermilion Sailor Marching Band - Disco Inferno - Festival Show
Disco Inferno,j21MfO2m_iw,2014-2015 Vermilion Sailor Marching Band - Disco Inferno - Firelands Festival 10-11-14
Disco Inferno,SaVheq0GcNo,2014-2015 Vermilion Sailor Marching Band - Disco Inferno - Hudson Band Festival 10-4-14
Disco Inferno,2OeVqVRSH0M,2014-2015 Vermilion Sailor Marching Band - Disco Inferno - Vermilion Sailor Marching Band Festival
Disco Inferno,1F77W6Iguog,2014-2015 Vermilion Sailor Marching Band - Disco Inferno - V Clearview 8-29-14
Disco Inferno,-Vy_jfz1YnQ,2014-2015 Vermilion Sailor Marching Band - Disco Inferno - V Fairview 9 5 14
Disco Inferno,D6GnVPfGxcg,2014-2015 Vermilion Sailor Marching Band - Disco Inferno
Don't Rain On My Parade,cjNOF6oFdz8,1988 Vermilion Sailor Alumni Band - Don't Rain on My Parade
Don't Rain On My Parade,1r5XF2GcQSI,1994 Vermilion Sailor Alumni Band - Don't Rain on My Parade
Don't Stop Believing,-3cpPZ1UysQ,2018-2019 Vermilion Sailor Marching  Band  - Don't Stop Believing
Don't Stop Believing,6lcv2mSSO4o,2018-2019 Vermilion Sailor Marching  Band  - Full Festival Show - Don't Stop Believing
Don't Stop Believing,3bz2MSZENR8,2018-2019 Vermilion Sailor Marching  Band  - 9-7-2018 - Don't Stop Believing
Don't Stop Thinking About Tomorrow,siRPfH7g-nA,2008-2009 Vermilion Sailor Marching Band  -  Don't Stop Thinking About Tomorrow -  V Clearview
Downtown,yWj2Cwu9NFo,2016-2017 Vermilion Sailor Marching Band - Downtown - Elyria Parade of Bands
Downtown,74H6tOzeIs8,2016-2017 Vermilion Sailor Marching Band - Downtown - Halftime Show V Fairview
Downtown,UoBuOhSIySQ,2016-2017 Vermilion Sailor Marching Band - Downtown - Halftime v Perkins
Downtown,40NOBRsochk,2016-2017 Vermilion Sailor Marching Band - Downtown - Vermilion Band Festival
Dream On,uuEKw7yvsS0,2012-2013 Vermilion Sailor Marching Band -  Dream On
Dream On,KZF4jZKKtUU,2015-2016 Vermilion Sailor Marching Band  - Dream On V Valleyforge 9-25-15   Second Video
Dream On,OQ3KhL3PEPM,2015-2016 Vermilion Sailor Marching Band - Dream On - Elyria Band Festival
Dream On,B1fNlu-ATo8,2015-2016 Vermilion Sailor Marching Band - Dream On  - V Valleyforge 9-25-15
Dream On,IfHWL1kcs2M,2016-2017 Vermilion Sailor Marching Band - Dream On - Firelands Parade of Bands
Enough is Enough,2veul8wTSGY,1985-1986 Vermilion Sailor Marching Band - Enough is Enough - Sailor Marching Band Festival
Enough is Enough,-VAgOLxVZBY,1985-1986 Vermilion Sailor Marching Band - Enough is Enough - Amherst High School Showcase of Bands
Enough is Enough,BISsXETcorU,1985-1986 Vermilion Sailor Marching Band - Enough is a Enough
Enter Sandman,Or2l54CFFss,2022-2023 Vermilion Sailor Marching Band - Enter Sandman - 9-30-2022
Enter Sandman,qqa4urxzywE,2022-2023 Vermilion Sailor Marching Band - Enter Sandman - 8-19-2022
Everybody's Everything,nppceA_4n-w,1998-1999 Vermilion Sailor Marching Band - Everybody's Everything - Rittman   10-18-98
Everybody's Everything,THsQA4_B-nk,1998-1999 Vermilion Sailor Marching Band - Everybody's Everything - Vermilion Sailor Band Festival
Everything is Awesome,2-mZi9IZfkI,2015-2016 Vermilion Sailor Marching Band - Everything is Awesome - v Firelands
Everything's Coming Up Roses,M_0Qg8DJThE,1987 Vermilion Sailor Alumni Band - Everything Is Coming Up Roses
Everything's Coming Up Roses,cNS67XmkCJQ,1993 Vermilion Sailor Alumni Band - Everything is Coming Up Roses
Everything's Coming Up Roses,S8Mzw6yp3XQ,1997 Vermilion Sailor Alumni Band - Everythings Coming Up Roses - Vermilion Band Festival
Eye of the Tiger,lfiJUEp6HEc,1996-1997 Vermilion High School Marching Band - Eye of The Tiger - Fox News
Eye of the Tiger,lpPL1Ofpe0o,1996-1997 Vermilion High School Marching Band - Eye of The Tiger - From The Rear
Eye of the Tiger,2kScF_wsu20,1996-1997 Vermilion High School Marching Band - Eye of The Tiger
Eye of the Tiger,GAF8duhXpI4,1999-2000 Vermilion Sailor Marching Band  - Vermilion Band Festival  - Eye of the Tiger
Eye of the Tiger,ImBVnjUz6Y0,1999-2000 Vermilion Sailor Marching Band - At Fox8 - Eye of the Tiger Partial
Eye of the Tiger,13q2pQJKwW4,2013-2014 Vermilion Sailor Marching Band  -  Eye of The Tiger - Band Review
Eye of the Tiger,DtDMst7x0OE,2013-2014 Vermilion Sailor Marching Band -   News Clip -  Eye of the Tiger
Fame,Ss8HdI7C33Q,2000-2001 Vermilion Sailor Marching Band - Second Source - Senior Show - Fame
Fanfares,V7qP3qCoUn8,2023 Vermilion Sailor Alumni Band - Practice - Fanfares
Feels So Good,wOCax4HOb2I,1998-1999 Vermilion Sailor Marching Band - Feels So Good - Vermilion Sailor Band Festival
Feels So Good,p2VdvnLvw9s,1998-1999 Vermilion Sailor Marching Band - Feels So Good  - Rittman    10-18-98
Fight Song -- Anchors Aweigh,9VZioQT-8Zs,1986 Vermilion Sailor Alumni Band   - Fight Song/Anchor's Away
Fight Song -- Anchors Aweigh,L6oy0BlrVJM,1995-1996 Vermilion Sailor Marching Band - Anchors Away
Final Countdown,zsov8t9kzWM,2000-2001 Vermilion Sailor Marching Band - Second Source  - Show 3 - Final Countdown
Final Countdown,eHzO7x9FO30,2004-2005 Vermilion Sailor Marching Band - The Final Countdown - Black River
Final Countdown,A-h5ZtDWaHE,2004-2005 Vermilion Sailor Marching Band - Final Countdown - Drug Mart
Footloose,sYpXtPU-VoU,1995-1996 Vermilion Sailor Marching Band - Footloose - Senior Song - Senior Show
Footloose,2VCtvew0Ybk,2000-2001 Vermilion Sailor Marching Band - Footloose - Senior Song - Senior Show
Free Ride,SmBhPa0J5sg,1993-1994 Vermilion Sailor Marching Band - Free Ride - Full Show 1
Free Ride,tdg1l4463PE,1993-1994 Vermilion Sailor Marching Band - Free Ride - V Admiral King
Free Ride,LaG3gMxDOwM,1993-1994 Vermilion Sailor Marching Band - Free Ride - V Lorain
